ID,Platform
440141669,App store
912559144,App store
1137775351,App store
912531759,App store
482482373,App store
487704293,App store
897954560,App store
431837446,App store
891716357,App store
589287697,App store
511841021,App store
408463633,App store
896112560,App store
649502982,App store
639324283,App store
1119894119,App store
1003287840,App store
1050540999,App store
705213089,App store
1122488716,App store
686449807,App store
660982355,App store
527215803,App store
480189064,App store
982830747,App store
547867933,App store
947792997,App store
1038310568,App store
1150821668,App store
1180453758,App store
624555293,App store
521671873,App store
794858194,App store
504559484,App store
876025489,App store
893393414,App store
739038117,App store
991713476,App store
398941864,App store
1024071974,App store
896072174,App store
1112532917,App store
586616284,App store
580594349,App store
985663365,App store
919141988,App store
932228293,App store
421385004,App store
339342188,App store
615238327,App store
821210514,App store
640998512,App store
542397575,App store
1035238692,App store
1093396572,App store
884349131,App store
1059589325,App store
920127738,App store
1030285902,App store
1178547361,App store
387634246,App store
649264704,App store
476148613,App store
492285538,App store
431058929,App store
592237422,App store
359033497,App store
534558776,App store
790284727,App store
1013593937,App store
1202710090,App store
1135354652,App store
473903699,App store
568875658,App store
1071280739,App store
904564233,App store
1017478824,App store
1042273323,App store
597373458,App store
912463735,App store
866690975,App store
687888390,App store
1090319014,App store
641362347,App store
867557860,App store
477611108,App store
818413834,App store
1049220609,App store
648842302,App store
841140544,App store
943862111,App store
740398173,App store
978681217,App store
453682011,App store
647146949,App store
962969578,App store
462397814,App store
405802712,App store
493145008,App store
588174883,App store
805072130,App store
947832332,App store
993597307,App store
659336346,App store
585930238,App store
912662531,App store
1098124546,App store
930395150,App store
1020962158,App store
446695127,App store
371925480,App store
561941526,App store
978866413,App store
944393180,App store
500620486,App store
572688855,App store
736579117,App store
1141118819,App store
928678878,App store
914862087,App store
624512118,App store
328580268,App store
718951908,App store
688881569,App store
681388348,App store
661005085,App store
739106934,App store
426912243,App store
951346475,App store
1098189387,App store
838698058,App store
977336130,App store
980286865,App store
879185767,App store
904267592,App store
650374866,App store
1029787024,App store
878980308,App store
1115010672,App store
930424778,App store
1116791611,App store
315604561,App store
725440655,App store
1065358746,App store
923555295,App store
727544634,App store
519247758,App store
1050745469,App store
354051766,App store
1134144728,App store
302324249,App store
839910634,App store
573412046,App store
453172645,App store
588470809,App store
490413078,App store
732544756,App store
667461862,App store
646064446,App store
625334537,App store
686542963,App store
883338188,App store
890479211,App store
592765802,App store
1056878884,App store
428845974,App store
619517698,App store
994102781,App store
798733298,App store
902421335,App store
297368629,App store
426026150,App store
775995291,App store
700227648,App store
322439990,App store
560744147,App store
1085123968,App store
474826688,App store
1052491589,App store
965585048,App store
438429273,App store
680079089,App store
561392949,App store
999261235,App store
827757536,App store
443173525,App store
640483745,App store
811683748,App store
838297703,App store
309662269,App store
524123670,App store
955957721,App store
730502743,App store
867964741,App store
808237503,App store
1066444269,App store
487119327,App store
913483313,App store
859478771,App store
762945886,App store
510463532,App store
478895559,App store
512203663,App store
435797419,App store
742625884,App store
476274173,App store
967092964,App store
955298998,App store
836311783,App store
885792725,App store
917561971,App store
930404329,App store
922541792,App store
467042425,App store
1030634472,App store
716759372,App store
900333528,App store
823464557,App store
786966982,App store
694082490,App store
808082884,App store
1031458779,App store
381671841,App store
294395428,App store
883078087,App store
1038796140,App store
638067545,App store
533752187,App store
942003779,App store
896186481,App store
409695793,App store
602727807,App store
985520271,App store
848147135,App store
682314077,App store
973379777,App store
1037738003,App store
681750184,App store
396958695,App store
809006539,App store
478349955,App store
628772609,App store
1137673647,App store
408302797,App store
408490231,App store
493606993,App store
467264067,App store
466959933,App store
1061832662,App store
779157948,App store
771105890,App store
386118145,App store
340372401,App store
535176909,App store
548318456,App store
973371996,App store
509253726,App store
630706883,App store
966446975,App store
713419894,App store
854338141,App store
834715612,App store
972657175,App store
600446812,App store
626576151,App store
537308269,App store
927950678,App store
367107953,App store
427774127,App store
1034342053,App store
494064178,App store
868033700,App store
327762565,App store
965623955,App store
425652036,App store
513973806,App store
493818358,App store
641427220,App store
690194008,App store
916663555,App store
666749112,App store
488593735,App store
900721327,App store
411690524,App store
317032821,App store
815181808,App store
689059795,App store
406351386,App store
393819590,App store
871197819,App store
830544402,App store
1074006236,App store
924691770,App store
523760683,App store
452483055,App store
347184248,App store
1061531453,App store
504720445,App store
1069160488,App store
411722855,App store
771512142,App store
549423269,App store
577106023,App store
494457527,App store
589220663,App store
616727645,App store
512142109,App store
639420094,App store
891448329,App store
921359146,App store
352670055,App store
453812548,App store
906826053,App store
401478553,App store
724226715,App store
539958397,App store
561326449,App store
465918332,App store
688695759,App store
1059218666,App store
460786692,App store
454703425,App store
388462078,App store
538411946,App store
939421784,App store
1120294802,App store
894022200,App store
793076829,App store
853280518,App store
358610619,App store
1040172229,App store
400858573,App store
633478986,App store
569424723,App store
698726956,App store
775475139,App store
1104805847,App store
465260083,App store
654896837,App store
661767360,App store
749133301,App store
884947296,App store
455507367,App store
844511937,App store
468252067,App store
914079393,App store
1044959425,App store
1139704246,App store
1064604577,App store
503853677,App store
556362131,App store
818932151,App store
1053688442,App store
320946370,App store
512942449,App store
1113509484,App store
740593142,App store
663106965,App store
1027553122,App store
507362852,App store
484527236,App store
954585437,App store
945381192,App store
300048137,App store
515948402,App store
395480192,App store
811397653,App store
429086511,App store
1107320261,App store
1006878949,App store
1141358828,App store
603938473,App store
673049405,App store
455884591,App store
1071739737,App store
947838402,App store
552124663,App store
1155982200,App store
977646008,App store
919892642,App store
1077959856,App store
867427452,App store
922488002,App store
951177560,App store
1156436919,App store
893490349,App store
1097895359,App store
875328582,App store
483922001,App store
634598719,App store
593451567,App store
680638663,App store
962050549,App store
548001324,App store
564615126,App store
907074008,App store
595689324,App store
984950271,App store
335249553,App store
1120181386,App store
839671656,App store
626632199,App store
717895951,App store
959619034,App store
831768949,App store
323438913,App store
438135734,App store
562178859,App store
841411896,App store
531184261,App store
892092770,App store
749133753,App store
959917160,App store
326819555,App store
558207346,App store
871690289,App store
469837533,App store
1066784117,App store
568903335,App store
1043532559,App store
920161006,App store
1047464336,App store
516596639,App store
958044511,App store
673254826,App store
703439482,App store
987164103,App store
924907196,App store
675108896,App store
506003812,App store
393340337,App store
1105390093,App store
375149734,App store
317178520,App store
560586497,App store
1068847177,App store
844153422,App store
575806752,App store
398295511,App store
657707383,App store
1069669263,App store
1188214675,App store
333235419,App store
595177332,App store
937498608,App store
902989330,App store
651454283,App store
1153389718,App store
922983045,App store
959865119,App store
1067658337,App store
1130186793,App store
1079321578,App store
1153883316,App store
710033980,App store
783948581,App store
336435697,App store
924354716,App store
868403565,App store
738947231,App store
1055672607,App store
848218959,App store
982805507,App store
314964252,App store
810011347,App store
950812012,App store
524140811,App store
400882072,App store
826028232,App store
663254283,App store
980274086,App store
670638634,App store
829010297,App store
1099022036,App store
808097555,App store
391855805,App store
432045052,App store
883523740,App store
474737980,App store
465647954,App store
286906691,App store
586198194,App store
399572385,App store
880017562,App store
428767956,App store
1100524859,App store
1054829917,App store
505544063,App store
1047588988,App store
501678276,App store
299949744,App store
1040608649,App store
608707318,App store
1062825798,App store
483581471,App store
828255345,App store
1118441024,App store
435688080,App store
816154032,App store
513718146,App store
739067687,App store
366322908,App store
692035811,App store
298948081,App store
993605516,App store
898968647,App store
914007100,App store
513898258,App store
1062642163,App store
317045290,App store
767354763,App store
944158857,App store
887878083,App store
1021462578,App store
889456781,App store
1080942736,App store
1095623181,App store
655299042,App store
919968216,App store
660600531,App store
994969054,App store
1031360579,App store
1019273969,App store
405229260,App store
857118308,App store
1085495353,App store
455336622,App store
649983655,App store
881155044,App store
794960248,App store
1016915419,App store
641387028,App store
1164299747,App store
946756973,App store
649876436,App store
562656862,App store
607863485,App store
1056175729,App store
919000809,App store
775402833,App store
523481129,App store
463677279,App store
687695808,App store
1157626939,App store
805807843,App store
1151455384,App store
981633844,App store
1010617486,App store
622620241,App store
635573390,App store
596677177,App store
893555393,App store
552100086,App store
454768104,App store
474764934,App store
363740600,App store
330511928,App store
756803884,App store
463869460,App store
547095391,App store
949790543,App store
941057494,App store
1116645064,App store
878691772,App store
463992221,App store
945975965,App store
427424432,App store
690111368,App store
535049654,App store
730601963,App store
862984425,App store
529106189,App store
494254145,App store
834802142,App store
734014323,App store
590210633,App store
973113361,App store
660619587,App store
621719928,App store
1035217840,App store
346513173,App store
794765479,App store
904003245,App store
533390985,App store
604919608,App store
928809962,App store
1023291955,App store
549350579,App store
823862005,App store
881659983,App store
564582898,App store
762067797,App store
1097445139,App store
660242333,App store
636240052,App store
979617855,App store
555094868,App store
375248440,App store
780759336,App store
783265808,App store
1045976470,App store
616302485,App store
1142924104,App store
497715542,App store
347346774,App store
922621329,App store
1160761293,App store
1032011507,App store
461504587,App store
966394526,App store
705211891,App store
944644383,App store
994196915,App store
442522082,App store
924780120,App store
936999508,App store
790284480,App store
690346667,App store
338147872,App store
360848902,App store
382217865,App store
548881816,App store
1095572547,App store
547274918,App store
944355604,App store
971414822,App store
1159072426,App store
440279995,App store
386644958,App store
822206495,App store
909195466,App store
532108060,App store
447331712,App store
1131388981,App store
967598945,App store
578204405,App store
939334310,App store
845129661,App store
446368116,App store
1083362092,App store
1090276143,App store
817405684,App store
1128931829,App store
635195642,App store
778658393,App store
680018367,App store
896606683,App store
970044095,App store
687554907,App store
681382563,App store
839085644,App store
476266112,App store
937824428,App store
969934912,App store
905060486,App store
718914632,App store
729430378,App store
696735368,App store
721639879,App store
1049257954,App store
628677149,App store
960170004,App store
502360445,App store
583066190,App store
301295390,App store
660944635,App store
298908505,App store
932500451,App store
839909328,App store
457500717,App store
943318171,App store
965630618,App store
1073059009,App store
1055326661,App store
1065760582,App store
1021592731,App store
453857236,App store
909270625,App store
869869881,App store
500116670,App store
529829305,App store
1052906160,App store
1003743244,App store
482066718,App store
768613302,App store
1133737578,App store
692721875,App store
550923627,App store
415446629,App store
609432419,App store
932879214,App store
669929173,App store
529850339,App store
467338170,App store
360593530,App store
1138256023,App store
456815571,App store
455650659,App store
681942253,App store
820625850,App store
966216029,App store
635335461,App store
917911263,App store
730634951,App store
770602233,App store
945248319,App store
421511821,App store
537581869,App store
509204969,App store
1153025759,App store
700971134,App store
302866295,App store
403177257,App store
441132912,App store
950710606,App store
953187297,App store
1099862552,App store
964320334,App store
499835556,App store
791286984,App store
659425518,App store
495958318,App store
835969177,App store
383907288,App store
555261137,App store
1051179821,App store
691162864,App store
904737816,App store
946369602,App store
1048629983,App store
494912510,App store
789839298,App store
985082895,App store
440045374,App store
911258778,App store
534082757,App store
312220102,App store
970721313,App store
611215451,App store
297558390,App store
957635530,App store
404516121,App store
530829008,App store
435879559,App store
588153349,App store
562989701,App store
571800810,App store
961656976,App store
719320397,App store
946719051,App store
925322691,App store
1081832850,App store
325815008,App store
1126314052,App store
578609936,App store
842274575,App store
1152245246,App store
664575829,App store
713910543,App store
608844139,App store
775914151,App store
875234141,App store
998424976,App store
1085348419,App store
363360636,App store
288429040,App store
884009993,App store
926667669,App store
878331354,App store
824983949,App store
827784354,App store
1021971213,App store
396607391,App store
432510312,App store
583922364,App store
530060483,App store
435101935,App store
834415889,App store
972319818,App store
439588585,App store
689501356,App store
542284269,App store
1078290773,App store
958604518,App store
325962257,App store
979234250,App store
426826309,App store
888936471,App store
783206968,App store
992397421,App store
1036112638,App store
821219070,App store
585801479,App store
583641493,App store
655107094,App store
816283225,App store
992309647,App store
527524556,App store
905639750,App store
626097043,App store
680170305,App store
1061768547,App store
485249934,App store
718923072,App store
731391854,App store
626053192,App store
663820495,App store
951419429,App store
905921908,App store
590561908,App store
714840435,App store
469231744,App store
868326899,App store
1080315031,App store
1154401422,App store
486154808,App store
722529542,App store
1082679672,App store
816012589,App store
414022954,App store
1006639052,App store
1059405547,App store
523532204,App store
802829741,App store
949230310,App store
887421672,App store
522215628,App store
519524685,App store
324917457,App store
610003290,App store
976851174,App store
885405524,App store
472250175,App store
687207809,App store
633103088,App store
961641025,App store
940508574,App store
284288607,App store
1106333758,App store
424724418,App store
840146800,App store
504321020,App store
567989536,App store
1123151894,App store
904348257,App store
947356923,App store
632080279,App store
695531774,App store
981845808,App store
671636796,App store
443784710,App store
578108899,App store
460248400,App store
872738779,App store
972100724,App store
1169379182,App store
466284081,App store
983143183,App store
1033655540,App store
887362336,App store
391485904,App store
339393884,App store
777236425,App store
924826256,App store
514485964,App store
358055270,App store
441242571,App store
718444936,App store
919034275,App store
500387023,App store
823039529,App store
1089373880,App store
419805412,App store
581489308,App store
916281743,App store
348719156,App store
291890420,App store
902998850,App store
1153910727,App store
1055295863,App store
517329357,App store
715257165,App store
495118163,App store
975035622,App store
492177760,App store
491994942,App store
1069786972,App store
533741523,App store
1071740001,App store
734217556,App store
847331685,App store
325955444,App store
305343404,App store
1015325685,App store
333262544,App store
799471892,App store
495887070,App store
486434354,App store
424610463,App store
563474464,App store
528805631,App store
784454179,App store
419812538,App store
805497452,App store
986304647,App store
1145258456,App store
627488630,App store
483867984,App store
839599050,App store
442157799,App store
540160856,App store
871809581,App store
1033245799,App store
794968897,App store
783246578,App store
641900855,App store
563862644,App store
904275738,App store
504168526,App store
739002910,App store
505839157,App store
563153165,App store
549105915,App store
589698942,App store
996228773,App store
