ID,Platform
504560130,App store
979888652,App store
599264781,App store
332640794,App store
510386949,App store
991346210,App store
808667171,App store
983080487,App store
495656626,App store
571252783,App store
736073264,App store
387428403,App store
314755636,App store
289329730,App store
444470345,App store
552039499,App store
284980815,App store
397626448,App store
300409424,App store
410923092,App store
284921430,App store
481039448,App store
669461819,App store
359067226,App store
293202011,App store
396836445,App store
972422753,App store
428417645,App store
912472174,App store
525961327,App store
294802544,App store
461402737,App store
382034036,App store
410229365,App store
929394808,App store
483910784,App store
292594310,App store
368955015,App store
302980375,App store
300670612,App store
480016024,App store
670962329,App store
285005466,App store
429363358,App store
455012464,App store
425744034,App store
388130469,App store
1055455918,App store
449688752,App store
284324018,App store
441078963,App store
331308917,App store
284888248,App store
1126360761,App store
298372283,App store
411286133,App store
564220611,App store
385160900,App store
890789067,App store
626884812,App store
689544911,App store
568363732,App store
286038741,App store
363548889,App store
392879324,App store
308807391,App store
483413217,App store
1169188578,App store
1051184360,App store
460808432,App store
284699897,App store
315282170,App store
948462332,App store
731145981,App store
355245826,App store
298910979,App store
490101509,App store
335936262,App store
528065807,App store
309470481,App store
441029909,App store
359562518,App store
581158167,App store
747759899,App store
389514018,App store
501819185,App store
298933045,App store
370828169,App store
1089468219,App store
355767100,App store
284940610,App store
292078403,App store
587658565,App store
310518946,App store
298856275,App store
293642074,App store
507985245,App store
367242043,App store
499852648,App store
409702204,App store
477750640,App store
281956209,App store
284954485,App store
571208055,App store
978359163,App store
284419051,App store
516243845,App store
298685318,App store
536547721,App store
297694604,App store
563752333,App store
623016565,App store
592447448,App store
551376282,App store
285035419,App store
454802333,App store
305680709,App store
697736100,App store
405424041,App store
330281898,App store
324029869,App store
297443250,App store
370521012,App store
281656478,App store
475097024,App store
1103871425,App store
497684641,App store
736005068,App store
284800461,App store
509306834,App store
326563288,App store
286210012,App store
627367901,App store
918407137,App store
784980963,App store
841130981,App store
441790439,App store
943875563,App store
380918771,App store
330298365,App store
