ID,Platform
999518645,App store
568341812,App store
552011286,App store
949972253,App store
978476998,App store
1075901015,App store
612502252,App store
796726213,App store
1086787992,App store
935764043,App store
973155632,App store
1146828763,App store
957372242,App store
471652460,App store
1030522460,App store
1042402213,App store
581979834,App store
406364460,App store
979713827,App store
970104032,App store
1191261872,App store
1055824678,App store
990628529,App store
1176899666,App store
1110436376,App store
1017619735,App store
1056878884,App store
907046888,App store
577626745,App store
428887661,App store
968008937,App store
936785611,App store
961458770,App store
480017583,App store
1181326320,App store
1064029413,App store
864334927,App store
723466734,App store
665828708,App store
330823064,App store
323129324,App store
467957062,App store
545813738,App store
867964741,App store
908892202,App store
1073537630,App store
1017016513,App store
994401137,App store
338057689,App store
715027712,App store
783543845,App store
522193985,App store
1152581181,App store
1071724190,App store
964097810,App store
1088041538,App store
1082995961,App store
1057673686,App store
1156617686,App store
990631978,App store
995797858,App store
879486059,App store
944919326,App store
907013835,App store
897521696,App store
950710132,App store
1042548678,App store
1065849294,App store
1182510156,App store
756803007,App store
581365763,App store
625391504,App store
317917431,App store
1063372951,App store
980810759,App store
1163003304,App store
905121703,App store
1035460404,App store
646813984,App store
1169376304,App store
824093892,App store
1033685038,App store
1017581225,App store
641427220,App store
1029359984,App store
1068236717,App store
808434527,App store
325683306,App store
921646371,App store
324029866,App store
977631519,App store
1050711248,App store
871331920,App store
1008323467,App store
855627886,App store
1022948629,App store
1091363017,App store
386568787,App store
712453353,App store
931293287,App store
1061419088,App store
459749670,App store
950551948,App store
716808089,App store
897235803,App store
973469381,App store
909412057,App store
1053248871,App store
581315752,App store
640360377,App store
981325873,App store
987145491,App store
301152770,App store
992338178,App store
1130193021,App store
1046101450,App store
463308695,App store
945554952,App store
1000418188,App store
501220013,App store
434446040,App store
912531759,App store
509987785,App store
981198574,App store
915031262,App store
970809354,App store
994855269,App store
1137689929,App store
934697946,App store
965508717,App store
958415876,App store
336580901,App store
982226368,App store
1039955035,App store
1073529893,App store
907336917,App store
1148184908,App store
365681816,App store
594686247,App store
944824096,App store
996136866,App store
1065973429,App store
992473095,App store
463451896,App store
949773739,App store
792886730,App store
950940251,App store
1146836786,App store
421385004,App store
