Platform,ID
App store,1080117697
App store,803278177
App store,689933041
App store,1180867962
App store,1157930465
App store,992058239
App store,1114500003
App store,1101079221
App store,1128850644
App store,1175980450
App store,954911919
App store,515983933
App store,1082224234
App store,1137930358
App store,846030145
App store,1104290492
App store,361319719
App store,854409932
App store,1168935998
App store,1145718202
App store,1115345642
App store,473903699
App store,1131227858
App store,558758182
App store,1155160908
App store,353137729
App store,1128337665
App store,1120590244
App store,1116399165
App store,1139548629
App store,1156058952
App store,1049220609
App store,1129913144
App store,605780737
App store,964583389
App store,1118803687
App store,367415158
App store,570601280
App store,588364107
App store,578068250
App store,738616889
App store,1184206574
App store,876355608
App store,1126187154
App store,719638589
App store,1056662247
App store,1116894031
App store,1192172816
App store,625305070
App store,1184444983
App store,1143370040
App store,1153393259
App store,1137942850
App store,1049281084
App store,540971042
App store,1186732359
App store,590359941
App store,1167378618
App store,1178891436
App store,1074372368
App store,1068447366
App store,994073792
App store,925211972
App store,468085832
App store,1012025930
App store,1117772590
App store,1158564810
App store,806095043
App store,1139117959
App store,1111564961
App store,1107498214
App store,1159662655
App store,1031700855
App store,1025705391
App store,1193059857
App store,1119468745
App store,1170103060
App store,1184183752
App store,1159310081
App store,1178537712
App store,528190105
App store,1123599963
App store,1172272629
App store,1093799697
App store,1170484790
App store,1149323538
App store,964176660
App store,1138277066
App store,1121577016
App store,577453010
App store,867005198
App store,1190055753
App store,1150392284
App store,1180922366
App store,1161667432
App store,767825888
App store,1180472806
App store,335493278
App store,1182926126
App store,1152581181
App store,1128686319
App store,1087029548
App store,1156045891
App store,1051042628
App store,1063837642
App store,1183698981
App store,1163992138
App store,1179252708
App store,1053012434
App store,1179644515
App store,327538172
App store,1158426422
App store,1060537435
App store,437447379
App store,836073457
App store,1111514754
App store,1104960083
App store,1168464862
App store,1125345827
App store,1180954130
App store,704237014
App store,1125950929
App store,945388306
App store,1151015833
App store,510282524
App store,1154354359
App store,1107681883
App store,436577167
App store,1150179508
App store,1176953354
App store,955322753
App store,1157849320
App store,563803371
App store,949341786
App store,424216726
App store,1190216105
App store,942413257
App store,532430574
App store,1126663513
App store,1180478869
App store,481150251
App store,573328837
App store,1178541551
App store,1177493794
App store,996064142
App store,909610529
App store,506624675
App store,930441707
App store,1137855759
App store,1178542693
App store,1166453556
App store,933469609
App store,1158557990
App store,1122386547
App store,1114502930
App store,1148627712
App store,1133872514
App store,714388404
App store,1153283268
App store,1161989861
App store,1112077383
App store,1191257631
App store,1135947368
App store,1184174092
App store,1091128079
App store,657110065
App store,1171227170
App store,716262008
App store,951657280
App store,998187288
App store,318103778
App store,1155400805
App store,490989206
App store,884920246
App store,1143976032
App store,1180974858
App store,1114498273
App store,1158280293
App store,398436747
App store,961958173
App store,463630399
App store,1159784002
App store,1179258707
App store,994073916
App store,1183640366
App store,1142433781
App store,1178624444
App store,1029648498
App store,1171742826
App store,1084194490
App store,1136806839
App store,1031036198
App store,1062265217
App store,1184228230
App store,1185300064
App store,1195737006
App store,1148394891
App store,1129175364
App store,1139177817
App store,1152993829
App store,1172137205
App store,1059648101
App store,1143653402
App store,1154312645
App store,939222314
App store,1148385282
App store,1175326728
App store,1133111165
App store,1127230107
App store,1183397612
App store,1180922997
App store,1144835813
App store,1024908393
App store,1100908290
App store,1171316307
App store,1004953203
App store,1180885257
App store,1162014434
App store,931215081
App store,875254185
App store,932243826
App store,1021427351
App store,951399974
App store,608928658
App store,990822895
App store,950837447
App store,1188590009
App store,1039752155
App store,640133448
App store,1138219540
App store,1123919151
App store,1157928479
App store,1154341476
App store,1151049170
App store,1183671964
App store,699498825
App store,1169449780
App store,1153284550
App store,1013278031
App store,1140259323
App store,943297011
App store,1124180121
App store,656177391
App store,1135852485
App store,1156784680
App store,1138347836
App store,1157444837
App store,1016978566
App store,907026702
App store,886626229
App store,1076481548
App store,1143689063
App store,1155912624
App store,1195730873
App store,1117253351
App store,1161430185
App store,1168557542
App store,1154238768
App store,1180341525
App store,1175967630
App store,592807377
App store,466429552
App store,1175982713
App store,1186005245
App store,954006327
App store,1179650792
App store,1063058215
App store,1048657272
App store,964118436
App store,946327296
App store,1111567068
App store,521473509
App store,1190204812
App store,1144333682
App store,478961825
App store,1127795104
App store,1146826929
App store,1180572214
App store,896767062
App store,1180937696
App store,1115155662
App store,1160211185
App store,1184210678
App store,879377534
App store,1188000511
App store,453857236
App store,1173931219
App store,449512733
App store,1146114626
App store,1186623793
App store,1097327045
App store,1118865304
App store,1147788445
App store,939799251
App store,1126835808
App store,1164088674
App store,1193504983
App store,1061451345
App store,1130837897
App store,961224723
App store,370531520
App store,1020183332
App store,1054507460
App store,1143631563
App store,1027329092
App store,1024787783
App store,626591824
App store,1116095603
App store,1179247458
App store,1110010324
App store,993572633
App store,1178525008
App store,1185298468
App store,1116592397
App store,1126835894
App store,920643594
App store,1178873856
App store,1151303771
App store,1145072204
App store,1188600713
App store,585176268
App store,1180532736
App store,1173815036
App store,1168025542
App store,1133137112
App store,1098092123
App store,1179644312
App store,1035993638
App store,1123795045
App store,964741563
App store,1111468073
App store,1057510303
App store,1184204636
App store,1191260593
App store,1180339449
App store,1150315307
App store,913818022
App store,1150783373
App store,1184199792
App store,1132358193
App store,1151016313
App store,422326080
App store,735780900
App store,328453619
App store,1175988038
App store,953873534
App store,1173623484
App store,986627010
App store,1147611884
App store,364361728
App store,1156513777
App store,1178853875
App store,1156433916
App store,535701918
App store,1059640212
