Platform,ID
App store,392550341
App store,920054061
App store,341540567
App store,950710238
App store,726122551
App store,724841105
App store,483910781
App store,1164492728
App store,1127506509
App store,552039496
App store,917463360
App store,975925059
App store,324029866
App store,302981385
App store,608289516
App store,723466226
App store,1017551780
App store,322523436
App store,337472899
App store,888628623
App store,542701020
App store,916535625
App store,367242040
App store,1154436120
App store,388401204
App store,1017177662
App store,963024820
App store,545229893
App store,483413214
App store,284940607
App store,548580856
App store,1017064541
App store,462371700
App store,912843344
App store,561416451
App store,929082221
App store,398687544
App store,457500717
App store,300670609
App store,618349779
App store,1090552213
App store,974344308
App store,669461816
App store,626884809
App store,890766240
App store,712124936
App store,1045947023
App store,479840373
App store,608289516
App store,561416817
App store,553838969
App store,443131313
App store,403177257
App store,499852645
App store,360807592
App store,400707675
App store,331308914
App store,363548886
App store,475249795
App store,697927927
App store,991563953
App store,516600956
App store,442238211
App store,457288250
App store,893490349
App store,1144883562
App store,322439990
App store,471802217
App store,309470478
App store,561459499
App store,284980812
App store,525458069
App store,896180361
App store,1083229791
App store,524352159
App store,839703707
App store,428149234
App store,293642071
App store,743669894
App store,655504247
App store,539592605
App store,564219788
App store,1109024890
App store,912530754
App store,493274880
App store,467931206
App store,410229362
App store,293642071
App store,808667168
App store,494655448
App store,844153422
App store,599072498
App store,670962326
App store,992442150
App store,1061912080
App store,639390161
App store,431739110
App store,827784354
App store,598241102
App store,1056995900
App store,675083486
App store,955957721
App store,592447445
App store,355767097
App store,923670329
App store,919610704
App store,303276697
App store,1042597125
App store,467052621
App store,1057554325
App store,1086408865
App store,547174523
App store,914865605
App store,918407138
App store,464150995
App store,477091717
App store,483581471
App store,397049430
App store,452483055
App store,463810077
App store,447119634
App store,1055455919
App store,306804246
App store,455507367
App store,516849108
App store,941421328
App store,1072337393
App store,875328582
App store,959454720
App store,1145500015
App store,525961324
App store,1134867646
App store,944118456
App store,819402402
App store,950823223
App store,1022286432
App store,902998850
App store,447689011
App store,794201100
App store,695302415
App store,784980960
App store,405622181
App store,643798619
App store,645949180
App store,1138280094
App store,480016021
App store,973009731
App store,510048869
App store,608178832
App store,632494400
